Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2010-10-31,2010-10-31,46.2,,
2010-11-30,2010-11-30,46.7,,
2010-12-31,2010-12-31,48.0,,
2011-01-31,2011-01-31,47.1,,
2011-02-28,2011-02-28,48.0,,
2011-03-31,2011-03-31,46.9,,
2011-04-30,2011-04-30,48.4,,
2011-05-31,2011-05-31,45.6,,
2011-06-30,2011-06-30,46.6,,
2011-07-31,2011-07-31,45.0,,
2011-08-31,2011-08-31,43.0,,
2011-09-30,2011-09-30,40.8,,
2011-10-31,2011-10-31,47.2,,
2011-11-30,2011-11-30,49.8,,
2011-12-31,2011-12-31,46.5,,
2012-01-31,2012-01-31,46.7,,
2012-02-29,2012-02-29,53.7,,
2012-03-31,2012-03-31,49.6,,
2012-04-30,2012-04-30,47.1,,
2012-05-31,2012-05-31,50.0,,
2012-06-30,2012-06-30,46.3,,
2012-07-31,2012-07-31,50.0,,
2012-08-31,2012-08-31,49.5,,
2012-09-30,2012-09-30,49.3,,
2012-10-31,2012-10-31,46.0,,
2012-11-30,2012-11-30,50.6,,
2012-12-31,2012-12-31,48.0,,
2013-01-31,2013-01-31,44.9,,
2013-02-28,2013-02-28,42.6,,
2013-03-31,2013-03-31,41.1,,
2013-04-30,2013-04-30,38.0,,
2013-05-31,2013-05-31,47.6,,
2013-06-30,2013-06-30,45.2,,
2013-07-31,2013-07-31,46.9,,
2013-08-31,2013-08-31,49.4,,
2013-09-30,2013-09-30,54.0,,
2013-10-31,2013-10-31,51.6,,
2013-11-30,2013-11-30,47.4,,
2013-12-31,2013-12-31,50.0,,
2014-01-31,2014-01-31,51.6,,
2014-02-28,2014-02-28,46.7,,
2014-03-31,2014-03-31,52.8,,
2014-04-30,2014-04-30,53.2,,
2014-05-31,2014-05-31,46.1,,
2014-06-30,2014-06-30,51.5,,
2014-07-31,2014-07-31,50.1,,
2014-08-31,2014-08-31,52.2,,
2014-09-30,2014-09-30,43.5,,
2014-10-31,2014-10-31,49.3,,
2014-11-30,2014-11-30,48.3,,
2014-12-31,2014-12-31,48.4,,
2015-01-31,2015-01-31,54.7,,
2015-02-28,2015-02-28,55.2,,
2015-03-31,2015-03-31,50.3,,
2015-04-30,2015-04-30,46.2,,
2015-05-31,2015-05-31,62.7,,
2015-06-30,2015-06-30,51.0,,
2015-07-31,2015-07-31,49.2,,
2015-08-31,2015-08-31,48.7,,
2015-09-30,2015-09-30,52.5,,
2015-10-31,2015-10-31,55.9,,
2015-11-30,2015-11-30,53.1,,
2015-12-31,2015-12-31,53.1,,
2016-01-31,2016-01-31,49.8,,
2016-02-29,2016-02-29,51.2,,
2016-03-31,2016-03-31,54.6,,
2016-04-30,2016-04-30,53.5,,
2016-05-31,2016-05-31,50.3,,
2016-06-30,2016-06-30,52.9,,
2016-07-31,2016-07-31,57.4,,
2016-08-31,2016-08-31,53.7,,
2016-09-30,2016-09-30,53.8,,
2016-10-31,2016-10-31,52.5,,
2016-11-30,2016-11-30,53.3,,
2016-12-31,2016-12-31,65.2,,
2017-01-31,2017-01-31,54.1,,
2017-02-28,2017-02-28,54.7,,
2017-03-31,2017-03-31,50.4,,
2017-04-30,2017-04-30,56.2,,
2017-05-31,2017-05-31,56.5,,
2017-06-30,2017-06-30,56.0,,
2017-07-31,2017-07-31,53.5,,
2017-08-31,2017-08-31,51.6,,
2017-09-30,2017-09-30,51.3,,
2017-10-31,2017-10-31,47.9,,
2017-11-30,2017-11-30,54.9,,
2017-12-31,2017-12-31,53.6,,
2018-01-31,2018-01-31,51.4,,
2018-02-28,2018-02-28,54.7,,
2018-03-31,2018-03-31,58.5,,
2018-04-30,2018-04-30,48.3,,
2018-05-31,2018-05-31,52.7,,
2018-06-30,2018-06-30,52.2,,
2018-07-31,2018-07-31,48.9,,
2018-08-31,2018-08-31,65.0,,
2018-09-30,2018-09-30,54.6,,
2018-10-31,2018-10-31,56.1,,
2018-11-30,2018-11-30,51.6,,
2018-12-31,2018-12-31,50.3,,
2019-01-31,2019-01-31,52.1,,
2019-02-28,2019-02-28,55.2,,
2019-03-31,2019-03-31,50.7,,
2019-04-30,2019-04-30,53.9,,
2019-05-31,2019-05-31,50.3,,
2019-06-30,2019-06-30,53.1,,
2019-07-31,2019-07-31,54.6,,
2019-08-31,2019-08-31,55.7,,
2019-09-30,2019-09-30,49.6,,
2019-10-31,2019-10-31,51.8,,
2019-11-30,2019-11-30,49.8,,
2019-12-31,2019-12-31,54.0,,
2020-01-31,2020-01-31,49.8,,
2020-02-29,2020-02-29,44.5,,
2020-03-31,2020-03-31,44.6,,
2020-04-30,2020-04-30,42.6,,
2020-05-31,2020-05-31,31.1,,
2020-06-30,2020-06-30,47.2,,
2020-07-31,2020-07-31,41.4,,
2020-08-31,2020-08-31,52.2,,
2020-09-30,2020-09-30,46.5,,
2020-10-31,2020-10-31,52.7,,
2020-11-30,2020-11-30,50.0,,
2020-12-31,2020-12-31,61.4,,
2021-01-31,2021-01-31,61.4,,
2021-02-28,2021-02-28,54.1,,
2021-03-31,2021-03-31,51.3,,
2021-04-30,2021-04-30,58.8,,
2021-05-31,2021-05-31,48.9,,
2021-06-30,2021-06-30,60.2,,
2021-07-31,2021-07-31,53.6,,
2021-08-31,2021-08-31,45.1,,
2021-09-30,2021-09-30,51.9,,
2021-10-31,2021-10-31,46.1,,
2021-11-30,2021-11-30,54.6,,
2021-12-31,2021-12-31,45.1,,
2022-01-31,2022-01-31,45.1,,
2022-02-28,2022-02-28,42.6,,
2022-03-31,2022-03-31,58.3,,
2022-04-30,2022-04-30,47.7,,
2022-05-31,2022-05-31,42.9,,
2022-06-30,2022-06-30,53.0,,
2022-07-31,2022-07-31,51.2,,
2022-08-31,2022-08-31,46.9,,
2022-09-30,2022-09-30,51.5,,
2022-10-31,2022-10-31,49.4,,
2022-11-30,2022-11-30,51.7,,
