Reference Period,Release Date,Actual,Median_Forecast,Average_Forecast
2013-07-31,2013-07-31,48.8,,
2013-08-31,2013-08-31,51.0,,
2013-09-30,2013-09-30,51.4,,
2013-10-31,2013-10-31,50.6,,
2013-11-30,2013-11-30,47.4,,
2013-12-31,2013-12-31,46.5,,
2014-01-31,2014-01-31,38.8,,
2014-02-28,2014-02-28,47.1,,
2014-03-31,2014-03-31,44.3,,
2014-04-30,2014-04-30,52.1,,
2014-05-31,2014-05-31,45.2,,
2014-06-30,2014-06-30,43.6,,
2014-07-31,2014-07-31,48.8,,
2014-08-31,2014-08-31,44.2,,
2014-09-30,2014-09-30,46.2,,
2014-10-31,2014-10-31,48.7,,
2014-11-30,2014-11-30,47.0,,
2014-12-31,2014-12-31,48.6,,
2015-01-31,2015-01-31,48.4,,
2015-02-28,2015-02-28,47.2,,
2015-03-31,2015-03-31,43.0,,
2015-04-30,2015-04-30,46.9,,
2015-05-31,2015-05-31,46.7,,
2015-06-30,2015-06-30,47.6,,
2015-07-31,2015-07-31,48.6,,
2015-08-31,2015-08-31,50.8,,
2015-09-30,2015-09-30,49.6,,
2015-10-31,2015-10-31,50.9,,
2015-11-30,2015-11-30,48.4,,
2015-12-31,2015-12-31,48.4,,
2016-01-31,2016-01-31,51.1,,
2016-02-29,2016-02-29,52.4,,
2016-03-31,2016-03-31,52.0,,
2016-04-30,2016-04-30,55.5,,
2016-05-31,2016-05-31,54.7,,
2016-06-30,2016-06-30,52.8,,
2016-07-31,2016-07-31,48.5,,
2016-08-31,2016-08-31,48.9,,
2016-09-30,2016-09-30,44.7,,
2016-10-31,2016-10-31,45.8,,
2016-11-30,2016-11-30,47.8,,
2016-12-31,2016-12-31,51.3,,
2017-01-31,2017-01-31,48.9,,
2017-02-28,2017-02-28,47.4,,
2017-03-31,2017-03-31,49.2,,
2017-04-30,2017-04-30,49.4,,
2017-05-31,2017-05-31,50.8,,
2017-06-30,2017-06-30,42.8,,
2017-07-31,2017-07-31,50.2,,
2017-08-31,2017-08-31,58.1,,
2017-09-30,2017-09-30,53.5,,
2017-10-31,2017-10-31,43.5,,
2017-11-30,2017-11-30,53.3,,
2017-12-31,2017-12-31,53.5,,
2018-01-31,2018-01-31,53.9,,
2018-02-28,2018-02-28,51.6,,
2018-03-31,2018-03-31,53.2,,
2018-04-30,2018-04-30,49.5,,
2018-05-31,2018-05-31,47.5,,
2018-06-30,2018-06-30,50.4,,
2018-07-31,2018-07-31,53.9,,
2018-08-31,2018-08-31,51.4,,
2018-09-30,2018-09-30,54.4,,
2018-10-31,2018-10-31,55.1,,
2018-11-30,2018-11-30,57.0,,
2018-12-31,2018-12-31,55.5,,
2019-01-31,2019-01-31,47.7,,
2019-02-28,2019-02-28,44.5,,
2019-03-31,2019-03-31,46.1,,
2019-04-30,2019-04-30,47.9,,
2019-05-31,2019-05-31,50.8,,
